Referência;12/2010;
#118947/95;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/94;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/93;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/92;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/91;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/90;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/89;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/88;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/87;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/70;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/69;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/68;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/51;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/50;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/49;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/48;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/47;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/65;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/46;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/45;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/44;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/43;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/42;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/41;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/39;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/52;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/53;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/67;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/66;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/64;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/63;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/62;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/61;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/60;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/59;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/58;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/57;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/56;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/55;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
#118947/54;0,01;PCA - ;(41) 3778-3686 - ; - ;HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS)
