Relatório ;1;;;;;;;
Entre ;26/01/2014 00:00:00 e 26/05/2014 23:59:59 ;tirado em 26/05/2014 19:00:53;;;;;;
28/03/2014 07:34:36;#292286/7;Certidão de Imóvel - Pelo nome do Propri;15;;15.00;Depósito;Sim;
22/05/2014 09:06:30;#300556/1;Certidão de Imóvel - Pelo nome do Propri;29.1;;29.10;Dinheiro;Não;
08/04/2014 18:31:20;#292148/1;Certidão de Imóvel - Pelo nome do Propri;28.71;;28.71;Depósito;Sim;
06/05/2014 08:34:52;#298584/1;Certidão de Imóvel - Pelo nome do Propri;29.1;;29.10;Dinheiro;Sim;
28/03/2014 07:34:35;#292286/3;Certidão de Imóvel - Pelo nome do Propri;15;;15.00;Depósito;Sim;
02/05/2014 08:22:19;#297818/3;Certidão de Imóvel - Pelo nome do Propri;18.71;;18.71;Dinheiro;Sim;
02/05/2014 08:22:18;#297818/2;Certidão de Imóvel - Pelo nome do Propri;18.71;;18.71;Dinheiro;Sim;
12/05/2014 09:28:32;#299393/1;Certidão de Imóvel - Pelo nome do Propri;69.94;;69.94;Depósito;Sim;
28/03/2014 07:34:35;#288791/7;Certidão de Imóvel - Pelo nome do Propri;55.33;;55.33;Depósito;Sim;
02/04/2014 11:05:02;#293052/1;Certidão de Imóvel - Pelo nome do Propri;48.2;;48.20;Depósito;Sim;
31/03/2014 15:56:44;#292707/1;Certidão de Imóvel - Pelo nome do Propri;124.73;;124.73;Depósito;Sim;
28/03/2014 07:34:34;#292148/1;Certidão de Imóvel - Pelo nome do Propri;4.3;;4.30;Depósito;Sim;
28/03/2014 07:34:35;#292286/2;Certidão de Imóvel - Pelo nome do Propri;52.55;;52.55;Depósito;Sim;
29/04/2014 09:51:24;#297580/2;Certidão de Imóvel - Pelo nome do Propri;29.1;;29.10;Dinheiro;Sim;
28/03/2014 07:34:35;#292286/1;Certidão de Imóvel - Pelo nome do Propri;35;;35.00;Depósito;Sim;
02/05/2014 08:22:18;#297818/1;Certidão de Imóvel - Pelo nome do Propri;18.71;;18.71;Dinheiro;Sim;
16/05/2014 08:38:41;#300542/2;Certidão de Imóvel - Pelo nome do Propri;29.07;;29.07;Dinheiro;Sim;
29/04/2014 09:51:24;#297580/1;Certidão de Imóvel - Pelo nome do Propri;29.1;;29.10;Dinheiro;Sim;
14/04/2014 17:54:52;#295705/2;Certidão de Imóvel - Pelo nome do Propri;43.15;;43.15;Depósito;Sim;
16/05/2014 08:20:56;#295705/6;Certidão de Imóvel - Pelo nome do Propri;57.4;;57.40;Depósito;Sim;
19/03/2014 09:49:27;#288791/7;Certidão de Imóvel - Pelo nome do Propri;101.4;;101.40;Depósito;Sim;
16/05/2014 08:38:41;#300542/1;Certidão de Imóvel - Pelo nome do Propri;29.07;;29.07;Dinheiro;Sim;
14/04/2014 17:54:52;#295705/4;Certidão de Imóvel - Pelo nome do Propri;43.15;;43.15;Depósito;Sim;
14/04/2014 17:54:52;#295705/3;Certidão de Imóvel - Pelo nome do Propri;43.15;;43.15;Depósito;Sim;
14/04/2014 17:54:52;#295705/1;Certidão de Imóvel - Pelo nome do Propri;51.15;;51.15;Depósito;Sim;
;

06/05/2014 09:37:49;#298351/3;Certidão de Imóvel - Por Endereço ;40;;40.00;Depósito;Sim;
06/05/2014 09:37:49;#298351/1;Certidão de Imóvel - Por Endereço ;73.75;;73.75;Depósito;Sim;
07/05/2014 09:34:21;#298351/2;Certidão de Imóvel - Por Endereço ;18.07;;18.07;Depósito;Sim;
15/05/2014 08:50:09;#299513/1;Certidão de Imóvel - Por Endereço ;29.07;;29.07;Dinheiro;Sim;
;

25/04/2014 08:45:20;#297103/1;Certidão de Matrícula Atualizada ;29;;29.00;Dinheiro;Sim;
10/04/2014 10:57:31;#294989/3;Certidão de Matrícula Atualizada ;29.1;;29.10;Depósito;Sim;
14/05/2014 08:59:09;#282148/6;Certidão de Matrícula Atualizada ;62;;62.00;Depósito;Sim;
30/04/2014 09:03:01;#297801/2;Certidão de Matrícula Atualizada ;29.1;;29.10;Dinheiro;Sim;
22/05/2014 09:06:31;#301490/1;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Não;
28/04/2014 10:35:00;#295236/1;Certidão de Matrícula Atualizada ;65.53;;65.53;Depósito;Sim;
14/04/2014 17:54:50;#294724/1;Certidão de Matrícula Atualizada ;66.71;;66.71;Depósito;Sim;
28/04/2014 09:22:18;#297318/1;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:19;#297318/2;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:19;#297318/3;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
21/03/2014 07:43:18;#282148/4;Certidão de Matrícula Atualizada ;88.71;;88.71;Depósito;Sim;
15/05/2014 09:07:43;#300285/1;Certidão de Matrícula Atualizada ;161;;161.00;Depósito;Sim;
15/05/2014 09:07:43;#300285/2;Certidão de Matrícula Atualizada ;48;;48.00;Depósito;Sim;
14/04/2014 17:54:55;#295236/1;Certidão de Matrícula Atualizada ;40;;40.00;Depósito;Sim;
02/05/2014 08:22:19;#298033/2;Certidão de Matrícula Atualizada ;29.1;;29.10;Dinheiro;Sim;
10/04/2014 10:57:31;#294989/1;Certidão de Matrícula Atualizada ;84.1;;84.10;Depósito;Sim;
06/05/2014 09:37:49;#298325/1;Certidão de Matrícula Atualizada ;88.75;;88.75;Depósito;Sim;
21/03/2014 07:43:16;#282148/3;Certidão de Matrícula Atualizada ;62;;62.00;Depósito;Sim;
02/05/2014 08:22:19;#298033/1;Certidão de Matrícula Atualizada ;29.1;;29.10;Dinheiro;Sim;
10/04/2014 10:57:31;#294989/2;Certidão de Matrícula Atualizada ;29.1;;29.10;Depósito;Sim;
15/05/2014 09:07:44;#300285/5;Certidão de Matrícula Atualizada ;48;;48.00;Depósito;Sim;
15/05/2014 09:07:44;#300285/4;Certidão de Matrícula Atualizada ;48;;48.00;Depósito;Sim;
15/05/2014 09:07:44;#300285/3;Certidão de Matrícula Atualizada ;48;;48.00;Depósito;Sim;
28/04/2014 09:22:21;#297318/10;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:21;#297318/11;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:21;#297318/12;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:19;#297318/5;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:21;#297318/13;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:22;#297318/14;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
31/03/2014 15:56:45;#283786/1;Certidão de Matrícula Atualizada ;47.1;;47.10;Depósito;Sim;
08/05/2014 09:04:45;#298989/2;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:19;#297318/4;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
07/05/2014 09:28:08;#298980/1;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:20;#297318/8;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
07/04/2014 09:16:48;#293871/1;Certidão de Matrícula Atualizada ;29;;29.00;Depósito;Sim;
28/04/2014 09:22:20;#297318/7;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
22/05/2014 09:06:31;#300306/2;Certidão de Matrícula Atualizada ;18.1;;18.10;Dinheiro;Não;
28/04/2014 09:22:21;#297318/9;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
28/04/2014 09:22:20;#297318/6;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
08/05/2014 09:04:45;#298989/1;Certidão de Matrícula Atualizada ;18.71;;18.71;Dinheiro;Sim;
;

29/04/2014 09:51:23;#297382/1;Certidão de Matrícula Atualizada com Neg;58.2;;58.20;Dinheiro;Sim;
19/03/2014 09:04:57;#288467/5;Certidão de Matrícula Atualizada com Neg;89.8;;89.80;Depósito;Sim;
;

21/03/2014 07:43:16;#284386/1;Certidão Vintenária ;93;;93.00;Depósito;Sim;
;

08/05/2014 09:27:19;#299200/1;Justiça do Trabalho ;74.63;;74.63;Depósito;Sim;
02/05/2014 08:22:19;#294352/5;Justiça do Trabalho ;5.53;;5.53;Dinheiro;Sim;
02/05/2014 08:22:19;#294352/8;Justiça do Trabalho ;5.53;;5.53;Dinheiro;Sim;
;

20/05/2014 08:13:06;#301130/1;Nascimento ;29.1;;29.10;Dinheiro;Não;
15/05/2014 09:07:44;#299349/1;Nascimento ;150;;150.00;Depósito;Sim;
15/05/2014 08:50:09;#300289/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
15/05/2014 09:07:42;#299496/1;Nascimento ;120;;120.00;Depósito;Sim;
15/05/2014 10:12:05;#299632/1;Nascimento ;70;;70.00;Vale Postal On-line;Sim;
15/05/2014 09:07:45;#300413/1;Nascimento ;72.1;;72.10;Depósito;Sim;
11/04/2014 10:55:32;#295214/1;Nascimento ;50;;50.00;Depósito;Sim;
10/04/2014 10:57:32;#290485/2;Nascimento ;28;;28.00;Depósito;Sim;
16/05/2014 08:20:56;#300387/1;Nascimento ;100.3;;100.30;Depósito;Sim;
;

16/05/2014 08:20:56;#299816/1;Nascimento;42;;42.00;Depósito;Sim;
;

16/05/2014 08:20:55;#300265/1;Nascimento ;80;;80.00;Depósito;Sim;
11/04/2014 10:55:31;#291792/1;Nascimento ;46;;46.00;Depósito;Sim;
11/04/2014 10:55:32;#294785/1;Nascimento ;35;;35.00;Depósito;Sim;
11/04/2014 10:55:32;#295178/1;Nascimento ;75;;75.00;Depósito;Sim;
14/04/2014 17:54:50;#294735/1;Nascimento ;45;;45.00;Depósito;Sim;
14/05/2014 08:59:09;#300214/1;Nascimento ;72.1;;72.10;Depósito;Sim;
14/04/2014 17:54:51;#294938/1;Nascimento ;70;;70.00;Depósito;Sim;
14/04/2014 17:54:51;#295644/1;Nascimento ;45;;45.00;Depósito;Sim;
12/05/2014 08:29:30;#299370/2;Nascimento ;29.1;;29.10;Dinheiro;Sim;
12/05/2014 08:29:30;#299370/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
14/05/2014 08:59:09;#299831/1;Nascimento ;50;;50.00;Depósito;Sim;
14/05/2014 08:59:06;#299871/1;Nascimento ;50;;50.00;Depósito;Sim;
13/05/2014 08:28:40;#299580/1;Nascimento ;71.7;;71.70;Depósito;Sim;
13/05/2014 08:28:39;#299389/1;Nascimento ;46;;46.00;Depósito;Sim;
14/04/2014 17:54:50;#295470/2;Nascimento ;40;;40.00;Depósito;Sim;
14/04/2014 17:54:51;#295470/1;Nascimento ;50;;50.00;Depósito;Sim;
12/05/2014 08:29:30;#298976/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
08/04/2014 18:31:21;#294520/1;Nascimento ;77.1;;77.10;Depósito;Sim;
08/04/2014 18:31:22;#294601/1;Nascimento ;73;;73.00;Depósito;Sim;
10/04/2014 10:57:30;#294387/1;Nascimento ;72.1;;72.10;Depósito;Sim;
10/04/2014 10:57:31;#294852/1;Nascimento ;53;;53.00;Depósito;Sim;
22/05/2014 08:30:03;#301547/2;Nascimento ;72.1;;72.10;Depósito;Não;
08/04/2014 18:31:20;#294433/1;Nascimento ;60;;60.00;Depósito;Sim;
23/05/2014 08:18:04;#301554/2;Nascimento ;29.1;;29.10;Dinheiro;Não;
14/02/2014 09:09:53;#284660/1;Nascimento ;45.00;;45.00;Depósito;Sim;
23/05/2014 08:17:29;#301564/1;Nascimento ;50;;50.00;Depósito;Não;
08/04/2014 18:31:21;#294622/1;Nascimento ;60;;60.00;Depósito;Sim;
08/04/2014 18:31:21;#293024/1;Nascimento ;37;;37.00;Depósito;Sim;
16/05/2014 08:38:42;#300558/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
20/05/2014 08:13:06;#300689/1;Nascimento ;65;;65.00;Depósito;Não;
19/05/2014 08:06:27;#300714/1;Nascimento ;78.6;;78.60;Depósito;Sim;
19/05/2014 08:06:27;#300703/1;Nascimento ;71.6;;71.60;Depósito;Sim;
19/05/2014 08:06:26;#298795/1;Nascimento ;39.1;;39.10;Depósito;Sim;
12/05/2014 09:28:33;#299532/1;Nascimento ;104;;104.00;Depósito;Sim;
05/05/2014 08:21:51;#298287/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
25/04/2014 10:26:10;#297114/1;Nascimento ;73.1;;73.10;Depósito;Sim;
06/05/2014 09:37:48;#297529/1;Nascimento ;62;;62.00;Depósito;Sim;
06/05/2014 09:37:46;#297234/1;Nascimento ;45;;45.00;Depósito;Sim;
24/04/2014 13:17:19;#296896/1;Nascimento ;78;;78.00;Depósito;Sim;
24/04/2014 13:17:19;#296874/1;Nascimento ;80;;80.00;Depósito;Sim;
06/05/2014 09:37:50;#298344/1;Nascimento ;107.5;;107.50;Depósito;Sim;
12/05/2014 09:28:32;#299098/1;Nascimento ;112.07;;112.07;Depósito;Sim;
05/05/2014 08:21:51;#298337/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
24/04/2014 13:17:18;#296541/1;Nascimento ;143;;143.00;Depósito;Sim;
06/05/2014 09:37:45;#297844/1;Nascimento ;95;;95.00;Depósito;Sim;
29/04/2014 09:51:23;#294387/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
29/04/2014 09:51:24;#297575/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
29/04/2014 09:36:06;#295873/1;Nascimento ;49.6;;49.60;Depósito;Sim;
29/04/2014 09:36:06;#297606/1;Nascimento ;72.1;;72.10;Depósito;Sim;
29/04/2014 09:51:25;#297618/1;Nascimento ;29.07;;29.07;Dinheiro;Sim;
29/04/2014 10:07:45;#295923/1;Nascimento ;70;;70.00;Depósito;Sim;
06/05/2014 09:37:45;#297798/1;Nascimento ;48.88;;48.88;Depósito;Sim;
28/04/2014 10:35:00;#296867/1;Nascimento ;110;;110.00;Depósito;Sim;
28/04/2014 08:45:53;#297234/2;Nascimento ;29.07;;29.07;Dinheiro;Sim;
29/04/2014 10:07:55;#297623/1;Nascimento ;48;;48.00;Depósito;Sim;
29/04/2014 09:34:26;#295103/1;Nascimento ;50.00;;50.00;Depósito;Sim;
06/05/2014 09:37:50;#298546/1;Nascimento ;73;;73.00;Depósito;Sim;
12/05/2014 09:28:33;#299259/1;Nascimento ;85;;85.00;Depósito;Sim;
22/04/2014 07:36:55;#295933/1;Nascimento ;72.1;;72.10;Depósito;Sim;
22/04/2014 07:36:55;#295634/1;Nascimento ;43.1;;43.10;Depósito;Sim;
08/05/2014 09:27:19;#298908/1;Nascimento ;45;;45.00;Depósito;Sim;
08/05/2014 09:04:46;#299118/1;Nascimento ;29.07;;29.07;Dinheiro;Sim;
08/05/2014 09:27:18;#299190/1;Nascimento ;78;;78.00;Depósito;Sim;
09/05/2014 09:23:05;#299268/1;Nascimento ;84.7;;84.70;Depósito;Sim;
22/04/2014 07:36:55;#295434/1;Nascimento ;56;;56.00;Depósito;Sim;
12/05/2014 09:28:32;#299308/1;Nascimento ;40;;40.00;Depósito;Sim;
09/05/2014 09:23:06;#299014/1;Nascimento ;37;;37.00;Depósito;Sim;
09/05/2014 08:59:50;#299261/1;Nascimento ;29.07;;29.07;Dinheiro;Sim;
09/05/2014 09:23:05;#299118/2;Nascimento ;31.5;;31.50;Depósito;Sim;
09/05/2014 09:23:05;#299358/1;Nascimento ;75;;75.00;Depósito;Sim;
22/04/2014 07:36:55;#295619/1;Nascimento ;83;;83.00;Depósito;Sim;
07/05/2014 09:34:21;#298732/1;Nascimento ;36;;36.00;Depósito;Sim;
07/05/2014 09:34:21;#298546/2;Nascimento ;93;;93.00;Depósito;Sim;
22/04/2014 07:36:56;#296232/1;Nascimento ;72.1;;72.10;Depósito;Sim;
22/04/2014 07:36:56;#296209/1;Nascimento ;29.1;;29.10;Depósito;Sim;
23/04/2014 09:44:43;#296219/1;Nascimento ;60;;60.00;Depósito;Sim;
06/05/2014 08:34:53;#298634/1;Nascimento ;29.1;;29.10;Dinheiro;Sim;
07/05/2014 09:34:22;#298488/1;Nascimento ;70;;70.00;Depósito;Sim;
07/05/2014 09:34:22;#298761/1;Nascimento ;71.6;;71.60;Depósito;Sim;
21/03/2014 07:43:17;#291201/1;Nascimento ;50;;50.00;Depósito;Sim;
31/03/2014 15:56:46;#291375/1;Nascimento ;120;;120.00;Depósito;Sim;
31/03/2014 15:56:46;#288176/1;Nascimento ;65;;65.00;Depósito;Sim;
14/04/2014 17:54:50;#295682/1;Nascimento ;120;;120.00;Depósito;Sim;
31/03/2014 15:56:44;#292253/1;Nascimento ;55;;55.00;Depósito;Sim;
24/03/2014 13:57:06;#291632/2;Nascimento ;39.07;;39.07;Depósito;Sim;
21/03/2014 07:43:17;#290770/1;Nascimento ;100;;100.00;Depósito;Sim;
17/02/2014 10:25:46;#283736/1;Nascimento ;45.00;;45.00;Depósito;Sim;
24/03/2014 13:57:05;#289583/2;Nascimento ;100;;100.00;Depósito;Sim;
21/03/2014 07:43:18;#291245/1;Nascimento ;40;;40.00;Depósito;Sim;
03/04/2014 10:05:53;#293514/1;Nascimento ;39.07;;39.07;Depósito;Sim;
03/04/2014 10:05:52;#293511/1;Nascimento ;34;;34.00;Depósito;Sim;
24/03/2014 13:57:04;#290765/1;Nascimento ;85;;85.00;Depósito;Sim;
19/03/2014 09:49:27;#290198/1;Nascimento ;33;;33.00;Depósito;Sim;
02/04/2014 11:05:02;#292666/1;Nascimento ;77;;77.00;Depósito;Sim;
19/03/2014 09:04:56;#290485/2;Nascimento ;20;;20.00;Depósito;Sim;
19/03/2014 09:04:56;#290213/1;Nascimento ;36.25;;36.25;Depósito;Sim;
24/03/2014 13:57:05;#291468/1;Nascimento ;75;;75.00;Depósito;Sim;
24/03/2014 13:57:05;#290154/1;Nascimento ;45;;45.00;Depósito;Sim;
