Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#151345/379;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/380;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/381;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/382;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/383;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/384;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/385;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/386;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/387;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/388;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/389;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/390;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/391;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/392;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/393;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/394;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/395;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/396;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/397;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/398;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/399;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/400;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/401;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/402;;Negativa ;;Detran não emitiu certidadão na data prometida
#151345/403;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/404;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/405;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/406;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/407;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/408;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/409;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/410;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/411;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/412;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/413;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/414;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/415;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/416;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/417;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/418;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/419;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/420;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/421;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/422;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/423;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/424;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/425;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/426;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/427;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/428;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/429;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/430;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/431;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/432;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/433;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/434;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/435;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/436;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/437;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/438;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/439;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/440;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/441;;Negativa ;;Detran não emitiu certidadão na data prometida 
