Referência;12/2012;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Pará de Minas - MG;R$ 200,00;R$ 11,00;R$ 393,83;R$ 0,00;Fixo 200.00 semestre
Paracatú - MG;R$ 1.000,00;R$ 3,60;R$ 180,00;R$ 0,00;Fixo 1000.00 semestre
Paranaguá  - PR;R$ 1.000,00;R$ 5,50;R$ 275,00;R$ 0,00;Fixo 1000.00 semestre
Paranavaí­ - PR;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Parauapebas - PA;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;5.00% do Bruto
Patos de Minas - MG;R$ 27,65;R$ 11,06;R$ 553,00;R$ 0,00;5.00% do Bruto
Pedreira - SP;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Pelotas - RS;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Perdizes - São Paulo - SP;R$ 500,00;R$ 28,52;R$ 1.426,01;R$ 0,00;Fixo 500.00 semestre
Petrolina - PE;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Piauí - PI;R$ 500,00;R$ 11,38;R$ 569,00;R$ 0,00;Fixo 500.00 semestre
Pinhais - PR;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Piracicaba - SP;R$ 183,93;R$ 73,57;R$ 7.742,00;R$ 3.715,00;5.00% do Líquido
Pitangui - MG;R$ 500,00;R$ 2,10;R$ 105,00;R$ 0,00;Fixo 500.00 semestre
Poços de Caldas - MG;R$ 200,00;R$ 7,96;R$ 398,00;R$ 0,00;Fixo 200.00 semestre
Pontes e Lacerda - MT;R$ 300,00;R$ 43,80;R$ 2.190,00;R$ 0,00;Fixo 300.00 semestre
Porto Alegre - RS;R$ 1.500,00;R$ 1,30;R$ 65,00;R$ 0,00;Fixo 1500.00 semestre
Porto Ferreira - SP;R$ 38,98;R$ 15,59;R$ 779,50;R$ 0,00;5.00% do Bruto
Pouso Alegre - MG;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Presidente Prudente - SP;R$ 7,00;R$ 2,80;R$ 140,00;R$ 0,00;5.00% do Bruto
