Ordens;Protocolo;Resposta ;custas;motivo do atraso
#153374/123;;Negativa ;;
#153374/124;;Negativa ;;
#153374/125;;1 Positiva ;;
#153374/126;;3 Positiva ;;
#153374/127;; Positiva ;;
#153374/128;; Positiva ;;
#153374/129;; Positiva ;;
#153374/130;; Positiva ;;
#153374/131;; Positiva ;;
#153374/132;;Negativa ;;
#153374/133;;2 Positiva ;;
#153374/134;;Negativa ;;
#153374/135;;1 Positiva ;;
#153374/136;;Negativa ;;
#153374/137;;1 Positiva ;;
#153374/138;;Negativa ;;
#153374/139;;Negativa ;;
#153374/140;;Negativa ;;
#153374/141;;Negativa ;;
#153374/142;;Negativa ;;
#153374/143;;1 Positiva ;;
#153374/144;;Negativa ;;
#153374/145;;1 Positiva ;;
#153374/146;;Negativa ;;
#153374/147;;Negativa ;;
#153374/148;;1 Positiva ;;
#153374/149;;Negativa ;;
#153374/150;;Negativa ;;
#153374/151;;Negativa ;;
#153374/152;;Negativa ;;
#153374/153;;Negativa ;;
#153374/154;;Negativa ;;
#153374/155;;Negativa ;;
#153374/156;;Negativa ;;
#153374/157;;Negativa ;;
#153374/158;;Negativa ;;
#153374/159;;1 Positiva ;;
#153374/160;;Negativa ;;
#153374/161;;1 Positiva ;;
#153374/162;;3 Positiva ;;
#153374/163;;Negativa ;;
#153374/164;;1 Positiva ;;
#153374/165;;2 Positiva ;;
#153374/166;;Negativa ;;
#153374/167;;Negativa ;;
#153374/168;;Negativa ;;
#153374/169;;4 Positiva ;;
#153374/170;;2 Positiva ;;
#153374/171;;1 Positiva ;;
#153374/172;;1 Positiva ;;
#153374/173;;Negativa ;;
#153374/174;;1 Positiva ;;
#153374/175;;1 Positiva ;;
#153374/176;;Negativa ;;
#153374/177;;1 Positiva ;;
#153374/178;;Negativa ;;
#153374/179;;1 Positiva ;;
#153374/180;;Negativa ;;
#153374/181;;Negativa ;;
#153374/182;;Negativa ;;
#153374/183;;3 Positiva ;;
#153374/184;;2 Positiva ;;
#153374/185;;Negativa ;;
#153374/186;;Negativa ;;
#153374/187;;Negativa ;;
#153374/188;;1 Positiva ;;
#153374/189;;5 Positiva ;;
#153374/190;;2 Positiva ;;
#153374/191;;1 Positiva ;;
#153374/192;;1 Positiva ;;
#153374/193;;1 Positiva ;;
#153374/194;;2 Positiva ;;
#153374/195;;Negativa ;;
#153374/196;;2 Positiva ;;
#153374/197;;1 Positiva ;;
#153374/198;;Negativa ;;
#153374/199;;3 Positiva ;;
#153374/200;;4 Positiva ;;
#153374/201;;1 Positiva ;;
#153374/202;;4 Positiva ;;
#153374/203;;1 Positiva ;;
#153374/204;;Negativa ;;
#153374/205;;Negativa ;;
#153374/206;;1 Positiva ;;
#153374/207;;Negativa ;;
#153374/208;;1 Positiva ;;
#153374/209;;1 Positiva ;;
#153374/210;;Negativa ;;
#153374/211;;Negativa ;;
#153374/212;;Negativa ;;
#153374/213;;1 Positiva ;;
#153374/214;;2 Positiva ;;
#153374/215;;1 Positiva ;;
#153374/216;;Negativa ;;
#153374/217;;1 Positiva ;;
#153374/218;;Negativa ;;
#153374/219;;1 Positiva ;;
#153374/220;;Negativa ;;
#153374/221;;Negativa ;;
#153374/222;;Negativa ;;
#153374/223;;Negativa ;;
#153374/224;;Negativa ;;
#153374/225;;2 Positiva ;;
#153374/226;;1 Positiva ;;
#153374/227;;Negativa ;;
#153374/228;;Negativa ;;
#153374/229;;1 Positiva ;;
#153374/230;;1 Positiva ;;
#153374/231;;1 Positiva ;;
#153374/232;;Negativa ;;
#153374/233;;3 Positiva ;;
#153374/234;;2 Positiva ;;
#153374/235;;2 Positiva ;;
#153374/236;;1 Positiva ;;
#153374/237;;1 Positiva ;;
#153374/238;;Negativa ;;
#153374/239;;8 Positiva ;;
#153374/240;;3 Positiva ;;
#153374/241;;2 Positiva ;;
#153374/242;;1 Positiva ;;
#153374/243;;Negativa ;;
#153374/244;;Negativa ;;
#153374/245;;1 Positiva ;;
#153374/246;;3 Positiva ;;
#153374/247;;Negativa ;;
#153374/248;;6 Positiva ;;
#153374/249;;Negativa ;;
#153374/250;;6 Positiva ;;
#153374/251;;Negativa ;;
#153374/252;;4 Positiva ;;
#153374/253;;1 Positiva ;;
#153374/254;;Negativa ;;
#153374/255;;1 Positiva ;;
#153374/256;;1 Positiva ;;
