0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    03082010                                                                                                                                                                                                                                                                                                                                                                                                000001
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600015039325743894-1      13072010600BRADESCO S/A        1208201000000000001630200CC                                                                                                                                                                                                                                                                                                                                                                                           107695-22     000029
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600016039326043904-1      14072010900BRADESCO S/A        1308201000000000001212900CC                                                                                                                                                                                                                                                                                                                                                                                           107695-23     000030
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600017039334313916-1      14072010600BRADESCO S/A        1308201000000000002810600CC                                                                                                                                                                                                                                                                                                                                                                                           107695-24     000031
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600018039334733931-1      15072010900BRADESCO S/A        1408201000000000002089100CC                                                                                                                                                                                                                                                                                                                                                                                           107695-25     000032
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600019039351913936-1      15072010900BRADESCO S/A        1408201000000000001792700CC                                                                                                                                                                                                                                                                                                                                                                                           107695-26     000033
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600020039352393945-1      16072010900BRADESCO S/A        1508201000000000002022800CC                                                                                                                                                                                                                                                                                                                                                                                           107695-27     000034
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600021039381223956-1      17072010600BRADESCO S/A        1608201000000000001579500CC                                                                                                                                                                                                                                                                                                                                                                                           107695-28     000035
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600022039381313967-1      17072010900BRADESCO S/A        1608201000000000001394900CC                                                                                                                                                                                                                                                                                                                                                                                           107695-29     000036
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600023039381653948-1      16072010900BRADESCO S/A        1508201000000000001883700CC                                                                                                                                                                                                                                                                                                                                                                                           107695-30     000037
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600024039381813974-1      19072010900BRADESCO S/A        1808201000000000001723800CC                                                                                                                                                                                                                                                                                                                                                                                           107695-31     000038
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600025039405933993-1      20072010900BRADESCO S/A        1908201000000000001378000CC                                                                                                                                                                                                                                                                                                                                                                                           107695-32     000039
1022421004755COBR_CAUC_COR  FRIGOL S.A.                             009112489002616BERTIN S/A                              ROD PA 447 S/N KM 4                     CONCEICAO DO AR                         68540000PA2355600026039406153977-1      19072010600BRADESCO S/A        1808201000000000001513200CC                                                                                                                                                                                                                                                                                                                                                                                           107695-33     000040
